*Vertices 340
1 "人体经络显示屏,2011-06-16"
102 190 0.14
102 191 0.1
102 192 0.12
102 194 0.1
102 195 0.14
102 197 0.07
102 198 0.07
102 199 0.1
102 200 0.13
102 201 0.05
102 202 0.1
102 203 0.18
102 204 0.1
102 205 0.18
102 206 0.15
102 207 0.12
102 208 0.1
102 211 0.33
102 212 0.58
102 213 0.23
102 214 0.1
102 215 0.29
102 216 0.14
102 217 0.18
102 218 0.21
102 220 0.17
102 223 0.24
102 224 0.1
102 225 0.07
102 226 0.07
102 227 0.1
102 228 0.12
102 229 0.15
102 230 0.14
102 231 0.1
102 232 0.36
102 233 0.1
102 234 0.23
102 236 0.26
102 237 0.07
102 238 0.1
102 239 0.55
102 240 0.19
102 241 0.06
102 243 0.1
102 248 0.51
102 249 0.08
102 250 0.1
102 251 0.1
102 252 0.1
102 254 0.15
102 255 0.14
102 259 0.07
102 261 0.14
102 263 0.17
264 102 0.24
102 265 0.1
102 266 0.1
102 268 0.1
102 269 0.29
102 270 0.14
102 271 0.2
102 272 0.18
102 273 0.14
102 274 0.23
102 275 0.1
102 276 0.1
279 102 0.1
102 280 0.1
102 281 0.1
282 102 0.21
102 283 0.1
102 284 0.05
102 287 0.1
102 288 0.14
102 289 0.04
102 291 0.18
102 292 0.1
102 295 0.1
102 296 0.1
297 102 0.28
102 303 0.1
102 304 0.1
102 305 0.19
102 306 0.27
102 307 0.1
102 308 0.23
102 309 0.14
102 310 0.1
102 312 0.1
102 314 0.1
102 315 0.07
102 316 0.1
102 320 0.12
102 322 0.1
102 323 0.1
102 324 0.1
102 325 0.1
102 328 0.27
102 329 0.17
102 331 0.1
102 333 0.2
102 335 0.1
102 336 0.1
102 337 0.1
102 338 0.06
102 339 0.17
102 340 0.14
104 103 0.38
105 103 0.23
133 103 0.3
173 103 0.41
212 103 0.12
234 103 0.38
239 103 0.16
248 103 0.16
329 103 0.33
105 104 0.26
123 104 0.08
132 104 0.11
133 104 0.11
104 134 0.4
104 151 0.53
156 104 0.27
173 104 0.15
174 104 0.06
179 104 0.1
189 104 0.22
205 104 0.17
211 104 0.08
212 104 0.14
220 104 0.13
234 104 0.43
239 104 0.19
248 104 0.43
274 104 0.14
282 104 0.15
104 288 0.27
291 104 0.1
104 292 0.38
104 309 0.27
104 329 0.13
116 105 0.09
105 120 0.07
105 121 0.4
123 105 0.09
105 132 0.14
133 105 0.07
138 105 0.13
105 146 0.23
105 148 0.1
164 105 0.09
105 173 0.28
174 105 0.1
175 105 0.19
105 179 0.06
105 183 0.13
105 187 0.09
105 189 0.13
105 190 0.16
105 192 0.13
105 200 0.07
105 203 0.18
105 204 0.23
205 105 0.31
211 105 0.05
212 105 0.33
105 216 0.16
105 217 0.31
105 218 0.47
105 220 0.15
105 234 0.43
105 239 0.6
248 105 0.71
105 254 0.23
105 266 0.23
105 274 0.09
282 105 0.09
105 284 0.11
105 288 0.32
105 291 0.06
105 320 0.13
323 105 0.11
105 329 0.08
105 331 0.23
105 333 0.34
317 106 1.0
200 107 0.32
201 107 0.45
203 107 0.26
309 107 0.71
310 107 1.0
127 108 0.41
168 108 0.5
172 108 0.28
174 108 0.15
176 108 0.24
179 108 0.28
182 108 0.29
211 108 0.22
212 108 0.12
215 108 0.35
239 108 0.16
240 108 0.38
248 108 0.16
264 108 0.27
273 108 0.71
161 109 0.5
203 109 0.26
312 109 0.5
123 110 0.14
144 110 0.35
166 110 0.41
174 110 0.21
175 110 0.29
211 110 0.15
212 110 0.08
223 110 0.24
232 110 0.17
289 110 0.29
297 110 0.35
308 110 0.2
237 111 0.71
247 111 1.0
291 111 0.26
132 112 0.3
138 112 0.58
145 112 1.0
220 112 0.33
232 112 0.24
235 112 1.0
242 112 1.0
319 112 1.0
338 112 0.58
212 113 0.12
248 113 0.16
267 113 1.0
291 114 0.26
162 115 1.0
200 115 0.32
201 115 0.45
203 115 0.26
311 115 1.0
315 115 0.71
116 120 0.11
116 121 0.11
123 116 0.24
116 125 0.11
126 116 0.35
116 127 0.08
116 129 0.27
116 131 0.27
116 132 0.12
133 116 0.12
116 138 0.11
116 142 0.14
116 146 0.19
116 148 0.26
116 150 0.19
116 152 0.22
116 155 0.09
116 156 0.05
116 163 0.11
164 116 0.15
116 166 0.11
116 168 0.1
116 169 0.1
116 170 0.19
116 172 0.16
174 116 0.23
175 116 0.39
116 176 0.09
116 178 0.19
116 179 0.21
116 182 0.11
116 185 0.07
116 187 0.08
116 194 0.19
116 195 0.27
116 199 0.19
116 200 0.12
116 203 0.1
116 205 0.09
116 206 0.19
116 211 0.08
116 212 0.21
116 213 0.17
116 214 0.1
116 215 0.2
116 222 0.17
116 223 0.19
116 228 0.11
116 229 0.1
116 232 0.23
116 236 0.35
116 239 0.13
116 245 0.19
116 248 0.09
116 249 0.16
116 259 0.14
116 261 0.27
116 263 0.24
264 116 0.21
116 269 0.17
116 271 0.19
116 272 0.17
116 275 0.19
116 278 0.19
279 116 0.19
116 281 0.19
282 116 0.16
116 283 0.19
116 289 0.24
116 291 0.15
297 116 0.14
116 305 0.15
116 306 0.07
116 308 0.11
116 323 0.19
116 325 0.19
116 327 0.14
116 328 0.26
116 329 0.06
116 338 0.11
116 339 0.08
221 117 1.0
175 118 0.2
222 118 0.45
236 118 0.23
257 118 1.0
158 119 1.0
243 119 1.0
120 121 0.17
123 120 0.18
126 120 0.13
120 130 0.41
133 120 0.26
120 134 0.2
136 120 0.2
137 120 0.2
120 139 0.29
120 144 0.43
120 146 0.29
120 148 0.13
155 120 0.35
156 120 0.2
164 120 0.11
120 169 0.29
172 120 0.08
174 120 0.17
175 120 0.06
176 120 0.21
120 178 0.1
179 120 0.24
181 120 0.26
120 182 0.08
187 120 0.12
120 195 0.2
120 200 0.09
120 207 0.17
211 120 0.31
212 120 0.24
120 213 0.13
120 215 0.1
120 219 0.29
232 120 0.2
236 120 0.07
239 120 0.19
240 120 0.22
120 246 0.29
248 120 0.19
120 258 0.17
120 261 0.2
264 120 0.08
269 120 0.25
270 120 0.13
120 271 0.14
120 272 0.13
120 274 0.11
282 120 0.24
120 287 0.29
120 291 0.07
297 120 0.14
120 303 0.29
308 120 0.08
120 314 0.29
328 120 0.1
120 329 0.1
120 337 0.29
123 121 0.12
132 121 0.17
121 146 0.58
148 121 0.26
164 121 0.22
173 121 0.24
174 121 0.09
175 121 0.24
183 121 0.33
187 121 0.24
121 192 0.33
204 121 0.29
212 121 0.21
218 121 0.24
220 121 0.38
234 121 0.22
239 121 0.19
248 121 0.28
254 121 0.29
266 121 0.58
282 121 0.24
284 121 0.29
320 121 0.33
323 121 0.29
331 121 0.58
156 122 0.24
262 122 1.0
313 122 1.0
126 123 0.14
123 129 0.14
133 123 0.18
123 134 0.07
123 136 0.14
123 144 0.1
123 148 0.27
123 149 0.2
123 152 0.12
123 153 0.2
123 154 0.12
123 155 0.45
123 156 0.34
123 160 0.2
123 161 0.1
123 163 0.12
164 123 0.23
123 166 0.24
123 169 0.1
123 172 0.11
174 123 0.3
175 123 0.17
123 176 0.1
123 178 0.14
123 179 0.23
123 182 0.12
123 183 0.12
123 187 0.08
123 189 0.12
123 191 0.2
123 192 0.12
123 193 0.2
123 194 0.2
123 195 0.29
123 196 0.2
123 199 0.2
123 203 0.05
123 206 0.2
123 207 0.12
123 211 0.18
123 212 0.22
123 213 0.18
123 214 0.1
123 215 0.14
123 220 0.14
123 222 0.09
123 223 0.2
123 228 0.12
123 229 0.1
123 232 0.24
123 234 0.08
123 236 0.19
123 239 0.1
123 241 0.12
123 246 0.2
123 248 0.1
123 249 0.08
123 255 0.14
123 261 0.29
123 263 0.08
264 123 0.16
123 269 0.12
123 271 0.2
123 272 0.18
123 274 0.08
123 275 0.2
279 123 0.2
123 280 0.2
282 123 0.17
123 284 0.1
123 289 0.08
123 296 0.2
297 123 0.26
123 302 0.2
123 307 0.2
123 308 0.12
123 320 0.12
123 328 0.2
123 338 0.12
133 124 0.3
167 124 1.0
185 124 0.38
189 124 0.58
211 124 0.22
212 124 0.12
126 125 0.26
157 125 0.58
190 125 0.41
236 125 0.13
125 245 0.58
259 125 0.41
125 286 0.58
289 125 0.47
126 127 0.09
126 131 0.32
126 132 0.21
133 126 0.35
126 139 0.23
126 142 0.16
126 144 0.11
126 148 0.1
126 152 0.13
126 154 0.13
126 155 0.11
126 156 0.05
126 157 0.23
126 163 0.13
164 126 0.09
126 166 0.13
126 168 0.11
126 169 0.11
126 170 0.23
126 172 0.19
174 126 0.24
175 126 0.19
126 176 0.11
126 178 0.08
126 179 0.06
126 185 0.09
126 187 0.09
126 190 0.16
126 206 0.23
126 211 0.1
126 212 0.11
126 215 0.08
126 223 0.15
126 224 0.23
126 231 0.23
126 232 0.27
126 233 0.23
126 236 0.05
126 239 0.04
126 245 0.23
126 246 0.23
126 249 0.09
126 253 0.16
126 259 0.16
126 263 0.09
264 126 0.18
126 269 0.07
126 274 0.26
279 126 0.23
282 126 0.28
126 289 0.19
126 291 0.18
297 126 0.23
126 305 0.17
126 306 0.09
126 308 0.13
126 325 0.23
126 328 0.23
126 329 0.31
126 337 0.23
133 127 0.12
127 168 0.82
127 170 0.41
172 127 0.34
174 127 0.36
176 127 0.1
127 178 0.41
179 127 0.23
182 127 0.24
185 127 0.15
211 127 0.36
212 127 0.29
127 213 0.18
215 127 0.58
230 127 0.37
236 127 0.37
239 127 0.4
240 127 0.15
248 127 0.07
263 127 0.33
264 127 0.11
127 268 0.41
269 127 0.12
127 271 0.2
127 273 0.58
127 291 0.21
127 305 0.31
306 127 0.46
174 128 0.15
189 128 0.58
212 128 0.12
223 128 0.33
227 128 1.0
230 128 0.45
236 128 0.23
250 128 1.0
251 128 1.0
308 128 0.29
335 128 1.0
152 129 0.82
166 129 0.41
174 129 0.1
175 129 0.14
194 129 0.71
212 129 0.17
223 129 0.47
232 129 0.17
236 129 0.32
263 129 0.58
129 283 0.71
308 129 0.41
338 129 0.41
134 130 0.5
144 130 0.35
155 130 0.34
156 130 0.33
211 130 0.31
212 130 0.17
130 219 0.71
248 130 0.11
130 258 0.41
132 131 0.43
142 131 0.5
148 131 0.32
174 131 0.1
185 131 0.27
206 131 0.71
264 131 0.19
297 131 0.18
131 325 0.71
328 131 0.24
138 132 0.35
132 142 0.21
132 145 0.3
132 148 0.13
132 161 0.15
172 132 0.08
173 132 0.25
174 132 0.13
176 132 0.07
132 181 0.13
132 185 0.11
132 186 0.3
132 187 0.12
132 204 0.15
205 132 0.13
132 206 0.3
212 132 0.25
217 132 0.13
218 132 0.12
132 220 0.4
223 132 0.1
132 231 0.3
232 132 0.21
132 233 0.3
234 132 0.23
132 235 0.3
236 132 0.07
239 132 0.1
132 242 0.3
248 132 0.29
132 252 0.3
132 254 0.15
264 132 0.08
132 266 0.3
132 284 0.3
132 285 0.21
132 288 0.21
132 291 0.08
132 292 0.3
297 132 0.15
132 308 0.09
132 309 0.21
132 319 0.3
323 132 0.15
132 325 0.3
328 132 0.2
132 331 0.3
132 338 0.17
132 339 0.12
133 136 0.21
133 139 0.3
133 144 0.3
133 155 0.29
133 156 0.21
164 133 0.11
133 167 0.3
133 168 0.15
133 169 0.3
133 170 0.3
133 173 0.12
174 133 0.27
175 133 0.06
133 178 0.1
133 179 0.08
133 185 0.11
133 189 0.17
133 207 0.17
133 211 0.26
133 212 0.22
133 215 0.11
133 232 0.36
133 234 0.11
133 236 0.07
133 239 0.1
133 248 0.05
133 263 0.12
264 133 0.08
133 269 0.09
133 274 0.34
279 133 0.3
282 133 0.37
133 287 0.3
133 291 0.08
297 133 0.23
133 305 0.11
133 306 0.11
133 307 0.3
133 329 0.4
133 337 0.3
134 135 0.35
134 144 0.18
134 151 0.5
155 134 0.34
156 134 0.5
174 134 0.1
176 134 0.09
178 134 0.12
185 134 0.13
211 134 0.23
212 134 0.13
134 219 0.35
239 134 0.06
248 134 0.23
249 134 0.14
134 258 0.2
264 134 0.09
272 134 0.16
282 134 0.29
297 134 0.09
305 134 0.13
155 135 0.24
297 135 0.25
155 136 0.34
156 136 0.33
136 169 0.35
174 136 0.1
211 136 0.15
212 136 0.08
297 136 0.35
137 143 0.5
172 137 0.1
174 137 0.42
176 137 0.69
137 178 0.12
179 137 0.59
181 137 0.63
137 182 0.51
137 185 0.13
137 200 0.11
211 137 0.39
212 137 0.34
232 137 0.08
239 137 0.46
240 137 0.8
248 137 0.06
264 137 0.09
269 137 0.82
270 137 0.79
137 271 0.18
137 272 0.32
137 274 0.4
137 291 0.37
137 305 0.27
137 306 0.4
308 137 0.51
137 340 0.25
138 145 0.58
175 138 0.12
138 181 0.26
205 138 0.26
212 138 0.14
138 220 0.19
232 138 0.27
138 235 0.58
138 242 0.58
248 138 0.19
138 252 0.58
138 319 0.58
138 338 0.33
138 339 0.24
144 139 0.5
169 139 0.5
174 139 0.15
232 139 0.24
274 139 0.38
282 139 0.41
329 139 0.33
337 139 1.0
295 141 1.0
148 142 0.32
174 142 0.1
185 142 0.27
206 142 0.35
212 142 0.08
328 142 0.24
174 143 0.21
176 143 0.34
179 143 0.39
181 143 0.32
182 143 0.41
211 143 0.15
212 143 0.17
232 143 0.17
239 143 0.23
240 143 0.53
248 143 0.11
264 143 0.19
269 143 0.41
270 143 0.63
274 143 0.27
308 143 0.41
155 144 0.24
156 144 0.12
166 144 0.29
169 144 0.25
174 144 0.15
175 144 0.1
207 144 0.29
211 144 0.33
212 144 0.18
223 144 0.17
232 144 0.24
248 144 0.08
274 144 0.19
282 144 0.2
287 144 0.5
289 144 0.2
297 144 0.25
308 144 0.14
329 144 0.17
144 337 0.5
220 145 0.33
232 145 0.24
235 145 1.0
242 145 1.0
319 145 1.0
338 145 0.58
164 146 0.38
175 146 0.2
187 146 0.41
212 146 0.12
239 146 0.16
248 146 0.16
282 146 0.41
241 147 0.58
290 147 1.0
312 147 0.5
159 148 0.32
172 148 0.25
174 148 0.13
175 148 0.09
176 148 0.22
178 148 0.3
179 148 0.25
182 148 0.26
183 148 0.26
185 148 0.17
148 192 0.26
148 195 0.63
197 148 0.32
206 148 0.22
212 148 0.16
148 213 0.4
215 148 0.32
220 148 0.15
232 148 0.21
236 148 0.21
239 148 0.15
248 148 0.15
148 261 0.63
264 148 0.36
269 148 0.26
271 148 0.45
272 148 0.4
297 148 0.22
148 320 0.26
328 148 0.6
155 149 0.24
156 149 0.24
191 149 1.0
255 149 0.71
155 150 0.24
339 150 0.41
156 151 0.33
248 151 0.23
282 151 0.29
163 152 0.33
166 152 0.67
172 152 0.16
174 152 0.09
175 152 0.12
176 152 0.14
152 194 0.58
211 152 0.13
212 152 0.21
223 152 0.58
224 152 0.58
232 152 0.27
236 152 0.26
263 152 0.47
152 283 0.58
289 152 0.24
297 152 0.14
308 152 0.5
328 152 0.19
152 338 0.33
155 153 0.24
156 153 0.24
161 153 0.5
164 153 0.38
154 196 0.58
212 154 0.14
154 253 0.41
264 154 0.31
285 154 0.41
291 154 0.15
156 155 0.63
155 161 0.12
164 155 0.09
155 169 0.24
174 155 0.11
175 155 0.05
155 191 0.24
155 207 0.14
211 155 0.26
212 155 0.17
155 219 0.24
155 222 0.11
232 155 0.17
155 246 0.24
155 248 0.04
155 255 0.17
155 258 0.14
282 155 0.1
155 287 0.24
297 155 0.3
155 307 0.24
155 339 0.1
156 161 0.12
164 156 0.09
156 169 0.12
174 156 0.14
175 156 0.1
156 191 0.24
211 156 0.21
212 156 0.14
156 219 0.24
232 156 0.17
156 248 0.15
156 255 0.17
156 258 0.27
156 262 0.24
282 156 0.19
156 294 0.24
297 156 0.12
156 307 0.24
156 313 0.24
156 327 0.17
190 157 0.71
259 157 0.71
243 158 1.0
172 159 0.2
197 159 1.0
212 159 0.08
223 159 0.24
225 159 0.5
226 159 0.5
228 159 0.41
229 159 0.35
230 159 0.32
232 159 0.17
236 159 0.16
249 159 0.29
263 159 0.29
264 159 0.19
297 159 0.18
328 159 0.47
206 160 0.5
280 160 1.0
296 160 1.0
297 160 0.25
164 161 0.19
173 161 0.2
161 186 0.5
200 161 0.16
161 202 0.5
203 161 0.26
161 207 0.29
161 208 0.5
212 161 0.06
220 161 0.17
248 161 0.08
284 161 0.25
285 161 0.35
312 161 0.25
200 162 0.32
201 162 0.45
203 162 0.26
311 162 1.0
315 162 0.71
164 163 0.22
166 163 0.33
172 163 0.32
174 163 0.17
176 163 0.14
163 177 0.58
163 179 0.16
163 184 0.58
163 199 0.58
211 163 0.25
212 163 0.21
223 163 0.38
224 163 0.58
225 163 0.41
226 163 0.41
228 163 0.33
229 163 0.58
232 163 0.27
236 163 0.26
249 163 0.24
163 275 0.58
289 163 0.24
297 163 0.14
308 163 0.17
328 163 0.58
164 172 0.1
174 164 0.11
175 164 0.23
164 177 0.38
164 184 0.38
164 187 0.15
164 188 0.38
164 212 0.09
164 214 0.19
164 225 0.27
164 226 0.27
164 229 0.19
164 236 0.09
164 239 0.06
164 248 0.06
264 164 0.1
279 164 0.38
282 164 0.31
297 164 0.09
164 328 0.13
164 329 0.13
180 165 0.71
182 165 0.29
209 165 1.0
212 165 0.12
239 165 0.16
172 166 0.16
174 166 0.17
175 166 0.12
176 166 0.14
166 194 0.58
211 166 0.25
212 166 0.21
223 166 0.58
224 166 0.58
232 166 0.14
236 166 0.13
263 166 0.24
289 166 0.47
297 166 0.29
308 166 0.5
328 166 0.19
166 338 0.33
185 167 0.38
189 167 0.58
211 167 0.22
212 167 0.12
168 170 0.5
172 168 0.28
174 168 0.29
176 168 0.12
178 168 0.33
179 168 0.28
182 168 0.29
211 168 0.33
212 168 0.24
168 213 0.22
215 168 0.35
230 168 0.22
236 168 0.23
239 168 0.33
240 168 0.19
248 168 0.08
263 168 0.2
264 168 0.13
269 168 0.14
271 168 0.25
168 273 0.35
291 168 0.26
305 168 0.38
306 168 0.19
174 169 0.15
175 169 0.1
212 169 0.06
232 169 0.12
274 169 0.19
282 169 0.2
291 169 0.13
297 169 0.25
169 327 0.35
329 169 0.17
169 337 0.5
174 170 0.15
178 170 0.33
179 170 0.28
211 170 0.22
212 170 0.12
215 170 0.35
236 170 0.23
239 170 0.16
263 170 0.41
269 170 0.29
291 170 0.26
305 170 0.38
306 170 0.38
214 171 0.5
222 171 0.45
174 172 0.41
175 172 0.06
172 176 0.54
172 177 0.28
172 178 0.37
172 179 0.31
172 182 0.4
172 184 0.28
172 185 0.21
172 187 0.11
172 195 0.39
197 172 0.2
172 211 0.24
212 172 0.4
172 213 0.5
172 214 0.14
172 215 0.49
223 172 0.37
172 224 0.28
225 172 0.39
226 172 0.39
228 172 0.32
229 172 0.42
230 172 0.25
172 231 0.28
232 172 0.33
172 233 0.28
236 172 0.32
172 239 0.32
172 240 0.1
172 248 0.09
249 172 0.23
172 261 0.39
263 172 0.23
264 172 0.3
172 269 0.32
172 271 0.55
172 272 0.37
172 273 0.2
172 289 0.11
172 291 0.21
297 172 0.21
172 305 0.31
172 306 0.21
172 308 0.16
328 172 0.55
172 340 0.2
174 173 0.12
173 185 0.15
173 186 0.41
173 204 0.2
211 173 0.09
212 173 0.29
218 173 0.17
173 220 0.27
173 234 0.31
239 173 0.2
248 173 0.26
173 254 0.2
173 266 0.41
173 284 0.41
173 285 0.29
323 173 0.2
173 329 0.14
173 331 0.41
175 174 0.15
174 176 0.57
174 177 0.15
174 178 0.44
174 179 0.53
174 181 0.26
174 182 0.47
174 183 0.09
174 184 0.15
174 185 0.28
174 187 0.12
174 189 0.17
174 194 0.15
174 195 0.21
174 199 0.15
174 200 0.05
174 203 0.11
174 204 0.07
174 206 0.15
174 211 0.51
174 212 0.6
174 213 0.33
174 214 0.07
174 215 0.42
174 216 0.21
174 218 0.06
174 220 0.1
174 223 0.29
174 225 0.1
174 226 0.1
174 227 0.15
174 228 0.17
174 229 0.22
174 230 0.2
174 231 0.15
174 232 0.38
174 233 0.15
174 234 0.22
174 236 0.34
174 239 0.56
174 240 0.39
174 248 0.19
174 249 0.12
174 250 0.15
174 251 0.15
174 254 0.07
174 261 0.21
174 263 0.18
264 174 0.39
174 265 0.15
174 266 0.15
174 268 0.15
174 269 0.51
174 270 0.33
174 271 0.29
174 272 0.33
174 273 0.21
174 274 0.39
174 275 0.15
279 174 0.15
282 174 0.24
174 284 0.15
174 289 0.06
174 291 0.27
174 294 0.15
297 174 0.26
174 304 0.15
174 305 0.33
174 306 0.39
174 307 0.15
174 308 0.38
174 323 0.07
174 325 0.15
174 327 0.21
174 328 0.25
174 329 0.15
174 331 0.15
174 333 0.07
174 335 0.15
174 337 0.15
174 338 0.09
174 340 0.21
175 180 0.14
175 183 0.12
175 187 0.17
175 188 0.2
175 192 0.12
175 200 0.06
175 204 0.1
175 205 0.18
175 210 0.2
175 211 0.04
175 212 0.22
175 214 0.1
175 220 0.07
175 222 0.27
175 223 0.14
175 232 0.14
175 236 0.14
175 239 0.03
175 248 0.17
175 249 0.08
175 257 0.2
175 258 0.24
175 263 0.08
264 175 0.11
279 175 0.2
175 281 0.2
282 175 0.17
175 283 0.2
175 289 0.17
175 291 0.16
175 294 0.2
297 175 0.15
175 298 0.2
175 305 0.08
175 308 0.12
175 320 0.24
175 327 0.29
175 329 0.07
176 178 0.4
176 179 0.67
176 181 0.43
176 182 0.7
176 185 0.28
176 187 0.1
176 195 0.34
176 200 0.08
176 211 0.42
212 176 0.46
176 213 0.43
214 176 0.12
176 215 0.34
223 176 0.24
176 224 0.24
228 176 0.14
229 176 0.12
176 231 0.24
232 176 0.29
176 233 0.24
236 176 0.11
176 239 0.56
176 240 0.64
176 248 0.12
249 176 0.1
176 261 0.34
264 176 0.45
176 265 0.24
176 269 0.77
176 270 0.54
176 271 0.36
176 272 0.54
176 273 0.17
176 274 0.28
176 289 0.1
176 291 0.25
297 176 0.18
176 304 0.24
176 305 0.37
176 306 0.28
176 308 0.49
328 176 0.32
176 340 0.17
184 177 1.0
212 177 0.12
225 177 0.71
226 177 0.71
229 177 0.5
236 177 0.23
328 177 0.33
179 178 0.37
182 178 0.29
185 178 0.5
178 195 0.47
211 178 0.15
212 178 0.36
178 213 0.45
215 178 0.71
230 178 0.15
232 178 0.16
236 178 0.38
239 178 0.49
248 178 0.05
249 178 0.14
178 261 0.47
263 178 0.14
264 178 0.36
178 268 0.33
269 178 0.48
271 178 0.5
272 178 0.6
178 273 0.24
291 178 0.17
297 178 0.08
305 178 0.38
306 178 0.5
328 178 0.22
340 178 0.47
181 179 0.5
179 182 0.64
179 185 0.1
189 179 0.16
179 195 0.39
179 199 0.28
179 200 0.09
211 179 0.54
212 179 0.43
179 213 0.37
179 215 0.49
223 179 0.09
228 179 0.16
229 179 0.14
232 179 0.26
234 179 0.1
236 179 0.25
239 179 0.55
240 179 0.73
248 179 0.18
249 179 0.11
179 261 0.39
263 179 0.11
264 179 0.37
269 179 0.8
270 179 0.62
179 271 0.28
179 272 0.25
179 273 0.2
179 274 0.42
179 275 0.28
179 291 0.21
297 179 0.07
179 305 0.1
179 306 0.21
308 179 0.4
328 179 0.28
182 180 0.2
209 180 0.71
210 180 0.71
212 180 0.17
239 180 0.12
181 182 0.26
181 200 0.14
211 181 0.39
212 181 0.27
232 181 0.11
239 181 0.29
240 181 0.68
248 181 0.07
181 252 0.45
269 181 0.52
270 181 0.6
181 274 0.17
181 291 0.23
308 181 0.39
339 181 0.18
182 185 0.11
182 195 0.41
182 209 0.29
211 182 0.31
212 182 0.38
182 213 0.65
182 215 0.41
232 182 0.2
236 182 0.13
239 182 0.57
240 182 0.55
248 182 0.14
182 261 0.41
264 182 0.46
182 265 0.29
269 182 0.67
270 182 0.52
182 271 0.43
182 272 0.39
182 273 0.2
274 182 0.33
182 291 0.22
297 182 0.07
182 304 0.29
182 305 0.33
306 182 0.22
308 182 0.33
328 182 0.19
183 187 0.24
183 192 0.33
212 183 0.14
183 217 0.26
183 220 0.19
248 183 0.28
264 183 0.15
183 320 0.67
183 339 0.24
212 184 0.12
225 184 0.71
226 184 0.71
229 184 0.5
236 184 0.23
328 184 0.33
189 185 0.22
185 206 0.19
211 185 0.25
212 185 0.27
185 213 0.17
185 215 0.27
236 185 0.09
239 185 0.25
249 185 0.15
264 185 0.2
185 268 0.38
269 185 0.22
185 271 0.19
185 272 0.34
185 273 0.27
185 291 0.1
185 305 0.29
306 185 0.29
328 185 0.13
185 340 0.27
212 186 0.12
220 186 0.33
248 186 0.16
284 186 0.5
285 186 0.71
203 187 0.11
187 206 0.2
212 187 0.1
217 187 0.18
187 220 0.14
223 187 0.14
231 187 0.41
232 187 0.1
233 187 0.41
239 187 0.07
248 187 0.13
264 187 0.11
282 187 0.17
187 284 0.2
187 291 0.11
297 187 0.1
308 187 0.12
187 320 0.24
328 187 0.14
339 187 0.17
211 189 0.25
212 189 0.21
223 189 0.19
227 189 0.58
230 189 0.26
234 189 0.22
236 189 0.13
239 189 0.09
248 189 0.09
250 189 0.58
251 189 0.58
189 274 0.22
308 189 0.17
335 189 0.58
212 190 0.08
217 190 0.32
239 190 0.12
248 190 0.11
190 259 0.5
255 191 0.71
212 192 0.07
220 192 0.38
236 192 0.13
248 192 0.09
297 192 0.14
320 192 0.33
302 193 1.0
212 194 0.12
223 194 0.33
236 194 0.23
263 194 0.41
308 194 0.29
338 194 0.58
212 195 0.17
213 195 0.63
215 195 0.5
232 195 0.33
236 195 0.32
239 195 0.23
248 195 0.11
261 195 1.0
264 195 0.38
269 195 0.41
271 195 0.71
272 195 0.63
297 195 0.18
328 195 0.47
212 196 0.12
212 197 0.08
223 197 0.24
225 197 0.5
226 197 0.5
228 197 0.41
229 197 0.35
230 197 0.32
232 197 0.17
236 197 0.16
249 197 0.29
263 197 0.29
264 197 0.19
297 197 0.18
328 197 0.47
200 198 0.22
201 198 0.32
204 198 0.35
218 198 0.29
198 254 0.35
198 324 0.71
329 198 0.24
330 198 0.71
211 199 0.22
212 199 0.12
223 199 0.33
228 199 0.58
229 199 0.5
232 199 0.24
236 199 0.23
249 199 0.41
275 199 1.0
328 199 0.33
201 200 0.71
200 202 0.32
203 200 0.57
204 200 0.32
200 207 0.18
200 208 0.32
211 200 0.07
212 200 0.08
218 200 0.13
239 200 0.05
240 200 0.12
248 200 0.05
200 259 0.22
200 260 0.32
269 200 0.09
200 278 0.32
291 200 0.08
308 200 0.09
200 309 0.22
200 310 0.32
200 311 0.32
200 315 0.22
329 200 0.11
330 200 0.32
203 201 0.46
204 201 0.22
218 201 0.18
201 260 0.45
201 309 0.32
201 310 0.45
201 311 0.45
201 315 0.32
329 201 0.15
330 201 0.45
203 202 0.26
207 202 0.58
208 202 1.0
203 206 0.13
203 207 0.15
203 208 0.26
203 216 0.37
218 203 0.21
203 220 0.09
203 234 0.2
239 203 0.13
248 203 0.17
203 259 0.18
203 260 0.26
203 278 0.26
203 284 0.13
203 309 0.18
203 310 0.26
203 311 0.26
203 312 0.13
203 315 0.18
203 333 0.26
203 339 0.11
212 204 0.12
218 204 0.41
220 204 0.17
234 204 0.19
239 204 0.08
248 204 0.16
204 254 0.25
204 266 0.5
204 284 0.25
323 204 0.25
329 204 0.17
330 204 0.5
204 331 0.5
212 205 0.21
205 218 0.37
205 220 0.15
205 239 0.15
248 205 0.29
205 292 0.45
205 309 0.32
205 320 0.26
220 206 0.17
264 206 0.13
206 280 0.5
206 284 0.25
206 296 0.5
297 206 0.25
206 325 0.5
328 206 0.17
208 207 0.58
211 207 0.13
212 207 0.07
232 207 0.14
207 241 0.33
207 287 0.58
297 207 0.14
212 209 0.12
239 209 0.16
212 210 0.12
212 211 0.55
211 213 0.1
211 215 0.23
211 219 0.22
223 211 0.22
211 224 0.22
228 211 0.13
229 211 0.11
230 211 0.1
232 211 0.21
211 234 0.08
236 211 0.15
211 239 0.39
211 240 0.49
211 248 0.11
249 211 0.18
211 258 0.13
263 211 0.18
264 211 0.12
